"gene","GSM3186768","GSM3186769","GSM3186770","GSM3186771","GSM3186772","GSM3186773","GSM3186774","GSM3186775","GSM3186776","GSM3186777","GSM3186778","GSM3186779","GSM3186780","GSM3186781","GSM3186782","GSM3186783","GSM3186784","GSM3186785","GSM3186786","GSM3186787","GSM3186788"
"GCD6",226.462470879748,240.22711724178,251.410873893236,235.743287731766,263.512528386604,232.804874258172,196.952410809391,275.693105265256,249.93495596656,262.068014142453,334.783420525023,258.751802619339,282.728346532186,271.222788552331,277.351319775955,250.883563002152,278.688847213991,283.60734019524,245.417168443421,185.946197072793,238.497908605481
"TAT2",356.557932874496,476.579603560306,387.505189926352,496.157384644764,462.785684181448,469.791872006011,342.657000438788,495.402553139482,407.570280891528,444.007318924804,505.918715362096,467.823259135766,481.239738778189,480.569655761924,451.900605967,427.398069828666,414.307484093526,436.828968144877,262.666937471394,287.453058276782,276.226391322733
"NUP116",211.043749458148,261.53758731968,238.944218989439,246.708091812313,246.469429535729,223.046586115613,258.24882437762,232.384992943894,247.86080695439,294.119497886495,352.966545601462,312.572177564162,270.697353062732,262.972665706632,290.201573974069,285.828059277451,271.982431104563,270.34777623806,263.451017881756,309.910328454655,274.205222605737
"PTC7",141.659503060949,165.640471969131,138.172091850415,153.507257127662,140.277813618739,138.010075159036,161.782337450571,144.712472878697,146.227505358029,148.945130339956,147.604191796975,151.111052729694,200.917590939894,169.127518336815,147.777923278308,176.514506826514,181.818392300037,183.423968074324,173.281770690083,161.69234528069,171.125618038961
"VPS53",180.206306614948,110.426981312754,132.977652307166,126.095246926294,110.12463872873,139.404116322258,131.636560285869,147.881359146114,141.042132827603,175.340469893872,144.39540501878,168.706175307809,162.418411837639,148.502211222569,179.903558773593,191.746723151645,181.818392300037,211.416380872816,157.600162482836,207.505176443552,182.57890743527
"YHR071C-A",14.4550513327499,8.71791957732267,13.5055428124466,16.4472061208209,11.7990684352211,11.1523293057807,14.0680293435279,23.2384992943894,15.5561175912797,14.1403604753122,17.1135294837073,11.3850793152509,3.60929804083642,14.437714979972,23.5587993632085,16.1282290501383,14.9031469098391,13.9962063992456,14.1134473865226,10.7794896853793,12.8007352076388
"EAP1",88.6576481741991,122.050874082517,96.6165755044255,121.983445396088,100.947585501336,75.2782228140195,120.583108658811,108.798428514641,123.411866224152,141.403604753122,158.300147724292,154.216074361126,109.482040572038,105.189066282653,141.352796179251,151.426150526299,137.854108916011,134.068924455932,106.634935809282,117.676095732057,119.922677208406
"YNL247W",321.865809675897,366.152622247552,339.716346128464,296.049710174776,388.058250758381,278.808232644517,254.229387422326,400.33596511698,366.087300648116,319.572146742057,465.274082838291,350.867444351824,359.726704736697,417.662469063475,413.349843372659,346.756924577974,397.168865147211,347.695232654944,297.9505559377,278.470150205632,305.196476266336
"snR86",232.244491412848,222.791278087135,245.177546441338,324.832320886213,281.866634841392,333.175838010198,266.287698288207,244.004242591088,232.30468936311,513.766430603011,535.867391958583,475.068309609107,267.088055021895,279.472911398029,264.501065577841,282.244008377421,203.427955319303,233.515654134782,269.723661164655,288.351349083896,272.857776794407
"NDE1",3851.78934513341,4388.98817831656,4063.09061072912,3331.9298399763,3567.2516902485,3351.27495638709,3665.72650322785,3820.62054308211,3771.83997863228,4735.13537783289,4663.43678431023,4875.91896855883,4471.92027259633,4924.29207352616,4865.96292301907,3598.38710363086,3289.12452300149,3311.20777708469,3366.84128209601,2994.90155092122,3199.51007900404
"RPC34",154.187214215998,132.706109121467,123.627661129319,127.465847436362,220.24927745746,167.28493958671,124.602545614105,208.090198227032,165.93192097365,145.174367546539,188.24882432078,150.076045519217,127.52853077622,173.252579759664,174.549286191045,121.857730601045,125.93159138814,124.49257270908,134.861830582327,121.269258960517,132.723412416045
"MET7",184.060986970348,169.515102892385,180.766496105054,164.472061208209,200.584163398758,178.437268892491,168.816352122335,192.245766889948,178.376815046674,211.162716431329,219.267096509999,205.966434884994,188.886597470439,221.722051478141,207.745776202839,207.874952201783,216.095630192667,203.313314010094,199.940504642404,190.437651108368,185.273799057931
"YOR314W",3.85468035539996,4.84328865406815,10.3888790864974,5.48240204027363,3.93302281174035,6.97020581611292,8.03887391058739,10.5629542247224,3.11122351825594,12.2549790786039,12.8351471127804,7.2450504733415,6.01549673472737,9.28138820141056,6.42512709905688,8.06411452506916,3.72578672745977,4.41985465239336,5.48856287253658,6.2880356498046,0.673722905665202
"PSE1",515.563497534745,616.066316797468,544.377264132462,471.486575463532,690.901007262389,549.252218309698,436.108909649366,760.532704180016,547.575339213045,429.866958449492,631.061399711705,499.908482660564,546.207103513245,737.354729334283,660.717236686349,600.328525755149,688.525387234566,633.512500176381,427.323823647491,471.602673735345,468.237419437315
"SWI6",107.931049951199,98.8030885429902,105.966566682273,101.424437745062,119.301691956124,100.370963752026,126.612264091751,106.685837669697,141.042132827603,131.034007071227,114.446728422292,126.270879678238,114.29443795982,127.876904108323,119.935705849062,132.609883301137,126.676748733632,128.912427361473,139.566313044502,107.794896853793,147.545316340679
"KCS1",185.024657059198,192.762888431912,208.816469638597,217.925481100877,190.09610256745,203.530009830497,170.826070599982,199.639834847254,215.711497265745,245.099581572079,195.735993469902,239.08666562027,214.151683756294,238.222297169538,227.02115750001,190.850710426637,217.585944883651,209.943095988684,239.144525160522,253.318007606414,256.014704152777
"YML037C",26.9827624877997,18.404496885459,9.34999117784763,17.8178066308893,19.6651140587018,26.4867821012291,14.0680293435279,24.2947947168616,19.704415615621,20.7391953637913,29.9486765964877,28.980201893366,25.2650862858549,15.4689803356843,23.5587993632085,8.96012725007685,24.5901924012345,16.9427761675079,24.3064927212334,13.4743621067241,20.8854100756213
"YND1",206.225399013898,218.91664716388,212.972021273196,217.925481100877,254.335475159209,218.864462625946,227.098187974094,285.199764067506,237.490061893537,279.036446712828,279.164449702975,270.13688193459,230.995074613531,276.379115330892,232.375430082557,282.244008377421,304.024196960717,296.86690415242,235.224123108711,237.148773078345,251.972366718786
"MAC1",126.240781639349,119.144900890076,136.094316033115,127.465847436362,148.14385924222,147.768363301594,112.544234748224,121.473973584308,131.708462272835,168.741635005393,161.508934502487,158.356103203036,153.996716409021,152.627272645418,135.998523596704,127.233806951091,150.521783789375,146.591845971046,168.577288227909,164.387217702034,170.451895133296
